State, Total Schools - All Management ,Total Schools - Govt,Total Schools - Govt. Aided ,Total Schools - Pvt. Unaided ,Total Schools - Others ,Schools with Drinking Water Facility - All Management,Schools with Drinking Water Facility - Govt.,Schools with Drinking Water Facility - Govt. Aided ,Schools with Drinking Water Facility - Pvt. Unaided ,Schools with Drinking Water Facility - Others,Schools with Functional Drinking Water Facility - All Management ,Schools with Functional Drinking Water Facility - Govt., Schools with Functional Drinking Water Facility - Govt. Aided , Schools with Functional Drinking Water Facility - Pvt. Unaided , Schools with Functional Drinking Water Facility - Others , % of Schools with Drinking Water Facility - All Management , % of Schools with Drinking Water Facility - Govt. , % of Schools with Drinking Water Facility - Govt. Aided , % of Schools with Drinking Water Facility - Pvt. Unaided , % of Schools with Drinking Water Facility - Others , % of Schools with Functional Drinking Water Facility - All Management , % of Schools with Functional Drinking Water Facility - Govt. , % of Schools with Functional Drinking Water Facility - Govt. Aided , % of Schools with Functional Drinking Water Facility - Pvt. Unaided , % of Schools with Functional Drinking Water Facility - Others 
Andaman and Nicobar Islands,417,342,2,73,0,417,342,2,73,0,417,342,2,73,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
Andhra Pradesh,63343,45145,2121,15792,285,55985,38051,2060,15605,269,55667,37809,2047,15543,268,88.38,84.29,97.12,98.82,94.39,87.88,83.75,96.51,98.42,94.04
Arunachal Pradesh,3675,3061,67,496,51,2814,2220,65,479,50,2361,1809,56,447,49,76.57,72.53,97.01,96.57,98.04,64.24,59.1,83.58,90.12,96.08
Assam,65203,46749,4983,6045,7426,60296,45307,4369,5774,4846,58431,44283,4127,5611,4410,92.47,96.92,87.68,95.52,65.26,89.61,94.73,82.82,92.82,59.39
Bihar,93459,75555,735,7923,9246,93192,75348,733,7902,9209,92877,75102,731,7875,9169,99.71,99.73,99.73,99.73,99.6,99.38,99.4,99.46,99.39,99.17
Chandigarh,230,121,7,75,27,230,121,7,75,27,230,121,7,75,27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Chhattisgarh,56494,48619,430,7131,314,56413,48548,429,7122,314,54863,47344,423,6793,303,99.86,99.85,99.77,99.87,100.0,97.11,97.38,98.37,95.26,96.5
Dadra and Nagar Haveli and Daman and Diu,479,407,8,63,1,479,407,8,63,1,479,407,8,63,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0,5642,2751,250,2641,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
Goa,1481,821,522,138,0,1481,821,522,138,0,1481,821,522,138,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
Gujarat,54444,34967,5640,13834,3,54428,34952,5640,13833,3,54424,34949,5640,13832,3,99.97,99.96,100.0,99.99,100.0,99.96,99.95,100.0,99.99,100.0
Haryana,23764,14563,17,8235,949,23677,14478,17,8233,949,23612,14436,17,8216,943,99.63,99.42,100.0,99.98,100.0,99.36,99.13,100.0,99.77,99.37
