State,Total Schools - All Management,Total Schools - Govt.,Total Schools - Govt. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Schools with Computer Facility - All Management,Schools with Computer Facility - Govt.,Schools with Computer Facility - Govt. Aided,Schools with Computer Facility - Pvt. Unaided,Schools with Computer Facility - Others,% of Schools with Computer Facility - All Management,% of Schools with Computer Facility - Govt.,% of Schools with Computer Facility - Govt. Aided,% of Schools with Computer Facility - Pvt. Unaided,% of Schools with Computer Facility - Others
Andaman and Nicobar Islands,417,342,2,73,0,262,195,2,65,0,62.83,57.02,100.0,89.04,0.0
Andhra Pradesh,63343,45145,2121,15792,285,24413,10766,365,13169,113,38.54,23.85,17.21,83.39,39.65
Arunachal Pradesh,3675,3061,67,496,51,978,506,58,382,32,26.61,16.53,86.57,77.02,62.75
Assam,65203,46749,4983,6045,7426,10576,7352,274,2846,104,16.22,15.73,5.5,47.08,1.4
Bihar,93459,75555,735,7923,9246,13546,4256,120,4912,4258,14.49,5.63,16.33,62.0,46.05
Chandigarh,230,121,7,75,27,229,120,7,75,27,99.57,99.17,100.0,100.0,100.0
Chhattisgarh,56494,48619,430,7131,314,47792,42288,199,5191,114,84.6,86.98,46.28,72.79,36.31
Dadra and Nagar Haveli and Daman and Diu,479,407,8,63,1,430,363,8,58,1,89.77,89.19,100.0,92.06,100.0
Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0,100.0,100.0,100.0,100.0,0.0
Goa,1481,821,522,138,0,764,160,474,130,0,51.59,19.49,90.8,94.2,0.0
Gujarat,54444,34967,5640,13834,3,50651,32976,5433,12240,2,93.03,94.31,96.33,88.48,66.67
Haryana,23764,14563,17,8235,949,13117,5110,15,7270,722,55.2,35.09,88.24,88.28,76.08
Himachal Pradesh,18145,15391,0,2753,1,6340,3883,0,2457,0,34.94,25.23,0.0,89.25,0.0
Jammu and Kashmir,28930,23167,1,5649,113,8191,4285,1,3845,60,28.31,18.5,100.0,68.07,53.1
Jharkhand,45319,35888,1175,1542,6714,35949,30429,367,1261,3892,79.32,84.79,31.23,81.78,57.97
Karnataka,76905,49791,7182,19915,17,37725,17346,4933,15438,8,49.05,34.84,68.69,77.52,47.06
Kerala,16481,5020,7191,3241,1029,15886,4782,7148,3054,902,96.39,95.26,99.4,94.23,87.66
Ladakh,1056,915,29,112,0,368,275,9,84,0,34.85,30.05,31.03,75.0,0.0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,100.0,100.0,0.0,0.0,0.0
Madhya Pradesh,133271,99152,773,31512,1834,22243,6902,178,14956,207,16.69,6.96,23.03,47.46,11.29
Maharashtra,110114,65734,23924,19632,824,83949,43835,21105,18300,709,76.24,66.69,88.22,93.22,86.04
Manipur,4653,2878,585,1027,163,1549,490,45,913,101,33.29,17.03,7.69,88.9,61.96
Meghalaya,14694,7795,4176,2179,544,2156,701,809,522,124,14.67,8.99,19.37,23.96,22.79
Mizoram,3925,2558,231,1050,86,2019,1059,183,718,59,51.44,41.4,79.22,68.38,68.6
Nagaland,2719,1975,0,743,1,1281,712,0,568,1,47.11,36.05,0.0,76.45,100.0
Odisha,64185,50256,5844,6393,1692,12673,7244,1014,3751,664,19.74,14.41,17.35,58.67,39.24
Puducherry,741,422,33,286,0,717,398,33,286,0,96.76,94.31,100.0,100.0,0.0
Punjab,28695,19330,455,8893,17,28345,19279,406,8654,6,98.78,99.74,89.23,97.31,35.29
Rajasthan,107376,68813,0,36023,2540,51565,23171,0,27603,791,48.02,33.67,0.0,76.63,31.14
Sikkim,1263,851,19,393,0,995,657,12,326,0,78.78,77.2,63.16,82.95,0.0
Tamil Nadu,58904,37589,8326,12402,587,45938,30369,3917,11182,470,77.99,80.79,47.05,90.16,80.07
Telangana,42917,30015,700,12023,179,16443,7492,223,8696,32,38.31,24.96,31.86,72.33,17.88
Tripura,4934,4265,43,360,266,1062,726,30,251,55,21.52,17.02,69.77,69.72,20.68
Uttar Pradesh,256911,137068,8125,96741,14977,53904,8077,3748,39353,2726,20.98,5.89,46.13,40.68,18.2
Uttarakhand,23169,16651,614,5396,508,9637,4844,422,4155,216,41.59,29.09,68.73,77.0,42.52
West Bengal,95153,83379,87,10042,1645,15195,11949,43,2860,343,15.97,14.33,49.43,28.48,20.85
