State,Total Schools - All Management,Total Schools - Govt.,Total Schools - Govt. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Schools with Hand Wash Facility - All Management,Schools with Hand Wash Facility - Govt.,Schools with Hand Wash Facility - Govt. Aided,Schools with Hand Wash Facility - Pvt. Unaided,Schools with Hand Wash Facility - Others,% of Schools with Hand Wash Facility - All Management,% of Schools with Hand Wash Facility - Govt.,% of Schools with Hand Wash Facility - Govt. Aided,% of Schools with Hand Wash Facility - Pvt. Unaided,% of Schools with Hand Wash Facility - Others
Andaman and Nicobar Islands,417,342,2,73,0,417,342,2,73,0,100.0,100.0,100.0,100.0,0.0
Andhra Pradesh,63343,45145,2121,15792,285,55611,39032,1849,14499,231,87.79,86.46,87.18,91.81,81.05
Arunachal Pradesh,3675,3061,67,496,51,1451,918,62,431,40,39.48,29.99,92.54,86.9,78.43
Assam,65203,46749,4983,6045,7426,56209,44679,3367,5092,3071,86.21,95.57,67.57,84.23,41.35
Bihar,93459,75555,735,7923,9246,79783,63477,571,7470,8265,85.37,84.01,77.69,94.28,89.39
Chandigarh,230,121,7,75,27,230,121,7,75,27,100.0,100.0,100.0,100.0,100.0
Chhattisgarh,56494,48619,430,7131,314,54768,46947,425,7087,309,96.94,96.56,98.84,99.38,98.41
Dadra and Nagar Haveli and Daman and Diu,479,407,8,63,1,479,407,8,63,1,100.0,100.0,100.0,100.0,100.0
Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0,100.0,100.0,100.0,100.0,0.0
Goa,1481,821,522,138,0,1481,821,522,138,0,100.0,100.0,100.0,100.0,0.0
Gujarat,54444,34967,5640,13834,3,52298,34122,4971,13202,3,96.06,97.58,88.14,95.43,100.0
Haryana,23764,14563,17,8235,949,23570,14437,17,8178,938,99.18,99.13,100.0,99.31,98.84
Himachal Pradesh,18145,15391,0,2753,1,17997,15246,0,2750,1,99.18,99.06,0.0,99.89,100.0
Jammu and Kashmir,28930,23167,1,5649,113,27685,22074,1,5501,109,95.7,95.28,100.0,97.38,96.46
Jharkhand,45319,35888,1175,1542,6714,40554,31971,992,1440,6151,89.49,89.09,84.43,93.39,91.61
Karnataka,76905,49791,7182,19915,17,66505,41827,6536,18127,15,86.48,84.01,91.01,91.02,88.24
Kerala,16481,5020,7191,3241,1029,16268,4920,7137,3199,1012,98.71,98.01,99.25,98.7,98.35
Ladakh,1056,915,29,112,0,577,457,29,91,0,54.64,49.95,100.0,81.25,0.0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,100.0,100.0,0.0,0.0,0.0
Madhya Pradesh,133271,99152,773,31512,1834,121848,89830,710,29596,1712,91.43,90.6,91.85,93.92,93.35
Maharashtra,110114,65734,23924,19632,824,107844,63922,23645,19461,816,97.94,97.24,98.83,99.13,99.03
Manipur,4653,2878,585,1027,163,3867,2358,498,907,104,83.11,81.93,85.13,88.32,63.8
Meghalaya,14694,7795,4176,2179,544,5018,2657,1509,640,212,34.15,34.09,36.14,29.37,38.97
Mizoram,3925,2558,231,1050,86,2850,1993,109,696,52,72.61,77.91,47.19,66.29,60.47
Nagaland,2719,1975,0,743,1,1462,939,0,522,1,53.77,47.54,0.0,70.26,100.0
Odisha,64185,50256,5844,6393,1692,61015,48353,5313,5906,1443,95.06,96.21,90.91,92.38,85.28
Puducherry,741,422,33,286,0,737,418,33,286,0,99.46,99.05,100.0,100.0,0.0
Punjab,28695,19330,455,8893,17,28695,19330,455,8893,17,100.0,100.0,100.0,100.0,100.0
Rajasthan,107376,68813,0,36023,2540,103299,65768,0,35260,2271,96.2,95.57,0.0,97.88,89.41
Sikkim,1263,851,19,393,0,1219,818,17,384,0,96.52,96.12,89.47,97.71,0.0
Tamil Nadu,58904,37589,8326,12402,587,58904,37589,8326,12402,587,100.0,100.0,100.0,100.0,100.0
Telangana,42917,30015,700,12023,179,37925,26074,580,11126,145,88.37,86.87,82.86,92.54,81.01
Tripura,4934,4265,43,360,266,4138,3545,41,332,220,83.87,83.12,95.35,92.22,82.71
Uttar Pradesh,256911,137068,8125,96741,14977,233250,128184,7315,84909,12842,90.79,93.52,90.03,87.77,85.74
Uttarakhand,23169,16651,614,5396,508,22029,15742,586,5202,499,95.08,94.54,95.44,96.4,98.23
West Bengal,95153,83379,87,10042,1645,92627,81680,79,9379,1489,97.35,97.96,90.8,93.4,90.52
