State,Medical Checkup) Total Schools - All Management  ,  Total Schools - Govt.  ,Total Schools - Govt. Aided , Total Schools - Pvt. Unaided , Total Schools - Others , Schools conducted Medical Checkups in last academic year - All Management , Schools conducted Medical Checkups in last academic year - Govt. , Schools conducted Medical Checkups in last academic year - Govt. Aided , Schools conducted Medical Checkups in last academic year - Pvt. Unaided , Schools conducted Medical Checkups in last academic year - Others , % of Schools conducted Medical Checkups in last academic year - All Management , % of Schools conducted Medical Checkups in last academic year - Govt. , % of Schools conducted Medical Checkups in last academic year - Govt. Aided , % of Schools conducted Medical Checkups in last academic year - Pvt. Unaided , % of Schools conducted Medical Checkups in last academic year - Others 
Andaman and Nicobar Islands,417,342,2,73,0,315,284,0,31,0,75.54,83.04,0.0,42.47,0.0
Andhra Pradesh,63343,45145,2121,15792,285,54995,41817,1917,11158,103,86.82,92.63,90.38,70.66,36.14
Arunachal Pradesh,3675,3061,67,496,51,1562,1263,35,239,25,42.5,41.26,52.24,48.19,49.02
Assam,65203,46749,4983,6045,7426,37875,31304,2442,2027,2102,58.09,66.96,49.01,33.53,28.31
Bihar,93459,75555,735,7923,9246,27056,23545,179,1631,1701,28.95,31.16,24.35,20.59,18.4
Chandigarh,230,121,7,75,27,144,97,5,36,6,62.61,80.17,71.43,48.0,22.22
Chhattisgarh,56494,48619,430,7131,314,39019,35217,258,3344,200,69.07,72.43,60.0,46.89,63.69
Dadra and Nagar Haveli and Daman and Diu,479,407,8,63,1,360,328,3,29,0,75.16,80.59,37.5,46.03,0.0
Delhi,5642,2751,250,2641,0,3844,1867,131,1846,0,68.13,67.87,52.4,69.9,0.0
Goa,1481,821,522,138,0,1169,744,355,70,0,78.93,90.62,68.01,50.72,0.0
Gujarat,54444,34967,5640,13834,3,22287,15557,2069,4659,2,40.94,44.49,36.68,33.68,66.67
Haryana,23764,14563,17,8235,949,13820,10062,6,3423,329,58.16,69.09,35.29,41.57,34.67
Himachal Pradesh,18145,15391,0,2753,1,8923,8044,0,878,1,49.18,52.26,0.0,31.89,100.0
Jammu and Kashmir,28930,23167,1,5649,113,12220,9799,0,2366,55,42.24,42.3,0.0,41.88,48.67
Jharkhand,45319,35888,1175,1542,6714,15704,13744,437,396,1127,34.65,38.3,37.19,25.68,16.79
Karnataka,76905,49791,7182,19915,17,51064,35684,5323,10051,6,66.4,71.67,74.12,50.47,35.29
Kerala,16481,5020,7191,3241,1029,13007,4512,6376,1576,543,78.92,89.88,88.67,48.63,52.77
Ladakh,1056,915,29,112,0,350,310,8,32,0,33.14,33.88,27.59,28.57,0.0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,100.0,100.0,0.0,0.0,0.0
Madhya Pradesh,133271,99152,773,31512,1834,39833,32572,154,6862,245,29.89,32.85,19.92,21.78,13.36
Maharashtra,110114,65734,23924,19632,824,73824,48876,15806,8927,215,67.04,74.35,66.07,45.47,26.09
Manipur,4653,2878,585,1027,163,2338,1427,310,517,84,50.25,49.58,52.99,50.34,51.53
Meghalaya,14694,7795,4176,2179,544,6368,3715,1789,671,193,43.34,47.66,42.84,30.79,35.48
Mizoram,3925,2558,231,1050,86,1910,1407,117,361,25,48.66,55.0,50.65,34.38,29.07
Nagaland,2719,1975,0,743,1,1046,754,0,291,1,38.47,38.18,0.0,39.17,100.0
Odisha,64185,50256,5844,6393,1692,9890,5330,3305,1172,83,15.41,10.61,56.55,18.33,4.91
Puducherry,741,422,33,286,0,637,383,25,229,0,85.96,90.76,75.76,80.07,0.0
Punjab,28695,19330,455,8893,17,24769,19311,455,4994,9,86.32,99.9,100.0,56.16,52.94
Rajasthan,107376,68813,0,36023,2540,40755,29416,0,10873,466,37.96,42.75,0.0,30.18,18.35
Sikkim,1263,851,19,393,0,1001,726,13,262,0,79.26,85.31,68.42,66.67,0.0
Tamil Nadu,58904,37589,8326,12402,587,56074,36569,8024,10998,483,95.2,97.29,96.37,88.68,82.28
Telangana,42917,30015,700,12023,179,30206,22348,459,7333,66,70.38,74.46,65.57,60.99,36.87
Tripura,4934,4265,43,360,266,3941,3550,35,220,136,79.87,83.24,81.4,61.11,51.13
Uttar Pradesh,256911,137068,8125,96741,14977,94433,72569,2865,17171,1828,36.76,52.94,35.26,17.75,12.21
Uttarakhand,23169,16651,614,5396,508,12383,10157,409,1655,162,53.45,61.0,66.61,30.67,31.89
West Bengal,95153,83379,87,10042,1645,57411,54470,37,2624,280,60.34,65.33,42.53,26.13,17.02
