State,Number of Teachers by Gender and Classes Taught - All Types of Management - Total - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Total - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Total - Total,Number of Teachers by Gender and Classes Taught - All Types of Management - Pre-Primary Only - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Pre-Primary Only - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Pre-Primary Only - Total,Number of Teachers by Gender and Classes Taught - All Types of Management - Pre-Primary & Primary - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Pre-Primary & Primary - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Pre-Primary & Primary - Total,Number of Teachers by Gender and Classes Taught - All Types of Management - Primary Only - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Primary Only - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Primary Only - Total,Number of Teachers by Gender and Classes Taught - All Types of Management - Primary & Upper Primary - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Primary & Upper Primary - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Primary & Upper Primary - Total,Number of Teachers by Gender and Classes Taught - All Types of Management - Upper Primary Only - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Upper Primary Only - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Upper Primary Only - Total,Number of Teachers by Gender and Classes Taught - All Types of Management - Upper Primary & Secondary - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Upper Primary & Secondary - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Upper Primary & Secondary - Total,Number of Teachers by Gender and Classes Taught - All Types of Management - Secondary Only - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Secondary Only - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Secondary Only - Total,Number of Teachers by Gender and Classes Taught - All Types of Management - Secondary & Higher Secondary - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Secondary & Higher Secondary - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Secondary & Higher Secondary - Total,Number of Teachers by Gender and Classes Taught - All Types of Management - Higher Secondary Only - Male,Number of Teachers by Gender and Classes Taught - All Types of Management - Higher Secondary Only - Female,Number of Teachers by Gender and Classes Taught - All Types of Management - Higher Secondary Only - Total
Andaman and Nicobar Islands,1805,3476,5281,42,180,222,17,85,102,525,1236,1761,94,170,264,223,436,659,323,555,878,167,311,478,125,177,302,289,326,615
Andhra Pradesh,158677,162047,320724,17,317,334,374,1673,2047,50137,68996,119133,11603,15523,27126,9006,10516,19522,51582,41411,92993,16650,13348,29998,946,1191,2137,18362,9072,27434
Arunachal Pradesh,12205,11502,23707,12,118,130,123,290,413,4595,4811,9406,2097,1785,3882,2311,2291,4602,760,531,1291,1255,1020,2275,477,261,738,575,395,970
Assam,208192,144752,352944,145,823,968,3391,3912,7303,81301,62227,143528,9803,10741,20544,49313,25012,74325,22161,15804,37965,27076,15086,42162,4398,3296,7694,10604,7851,18455
Bihar,348160,234716,582876,307,1034,1341,975,1861,2836,99087,89346,188433,44502,26886,71388,139675,93434,233109,6127,2800,8927,33517,11450,44967,9280,3062,12342,14690,4843,19533
Chandigarh,1816,7529,9345,3,446,449,8,106,114,508,2087,2595,140,542,682,198,772,970,505,1860,2365,118,487,605,137,493,630,199,736,935
Chhattisgarh,135873,124909,260782,89,1747,1836,654,2783,3437,56860,52921,109781,5282,10550,15832,36045,24627,60672,2456,3409,5865,10372,8692,19064,16897,14389,31286,7218,5791,13009
Dadra and Nagar Haveli and Daman and Diu,1604,2885,4489,0,131,131,1,10,11,595,1232,1827,36,111,147,359,661,1020,32,57,89,312,387,699,81,57,138,188,239,427
Delhi,40152,111448,151600,85,7188,7273,0,0,0,10154,41670,51824,0,0,0,10142,26039,36181,0,0,0,8651,17712,26363,0,0,0,11120,18839,29959
Goa,2697,11139,13836,0,274,274,7,62,69,347,3869,4216,58,272,330,340,1259,1599,682,2028,2710,602,1784,2386,20,41,61,641,1550,2191
Gujarat,174389,203729,378118,70,1567,1637,428,2559,2987,63999,95934,159933,4807,11412,16219,49474,55890,105364,1823,2615,4438,29382,17421,46803,4682,3807,8489,19724,12524,32248
Haryana,89050,148544,237594,31,2215,2246,57,864,921,28788,57811,86599,2848,10765,13613,17379,23866,41245,9367,13130,22497,6705,10335,17040,17795,21515,39310,6080,8043,14123
Himachal Pradesh,48190,51947,100137,31,949,980,329,1039,1368,12798,15355,28153,1108,4276,5384,7884,7279,15163,9094,9283,18377,4556,4720,9276,3752,3203,6955,8638,5843,14481
Jammu and Kashmir,86779,80327,167106,253,2558,2811,2706,4615,7321,30981,31560,62541,2857,3565,6422,27828,23035,50863,1471,1056,2527,13959,10010,23969,293,203,496,6431,3725,10156
Jharkhand,127297,83121,210418,105,976,1081,863,1799,2662,55384,37993,93377,20764,11274,32038,26247,15358,41605,4738,3884,8622,10909,7103,18012,3080,1601,4681,5207,3133,8340
Karnataka,180182,251204,431386,39,2767,2806,168,1912,2080,33106,72081,105187,52576,78269,130845,12086,25123,37209,4754,7720,12474,53099,45189,98288,827,1027,1854,23527,17116,40643
Kerala,55188,213285,268473,90,10407,10497,16,300,316,13277,72578,85855,534,3732,4266,12975,49456,62431,607,2919,3526,15826,45372,61198,333,1404,1737,11530,27117,38647
Ladakh,3033,3122,6155,32,117,149,105,134,239,655,1111,1766,470,307,777,765,835,1600,282,137,419,389,305,694,74,34,108,261,142,403
Lakshadweep,383,423,806,4,33,37,0,2,2,116,155,271,33,34,67,34,51,85,31,24,55,67,64,131,36,29,65,62,31,93
Madhya Pradesh,317981,283227,601208,401,3959,4360,1451,5395,6846,133064,105859,238923,21286,27615,48901,90217,83868,174085,7577,8689,16266,32613,24264,56877,12606,10886,23492,18766,12692,31458
Maharashtra,386196,362393,748589,95,2805,2900,438,2313,2751,145575,172917,318492,25652,29568,55220,67462,53089,120551,25111,19052,44163,76834,51633,128467,3761,3944,7705,41268,27072,68340
Manipur,19504,23180,42684,33,382,415,392,1434,1826,7039,9745,16784,2297,2731,5028,2701,2656,5357,2061,1820,3881,2442,1958,4400,748,604,1352,1791,1850,3641
Meghalaya,22933,32227,55160,63,461,524,964,2428,3392,8538,13462,22000,331,795,1126,7379,7860,15239,520,796,1316,3943,4399,8342,217,290,507,978,1736,2714
Mizoram,12356,11010,23366,9,106,115,52,124,176,3376,4300,7676,365,417,782,4785,3609,8394,39,25,64,2710,1529,4239,27,10,37,993,890,1883
Nagaland,13954,17448,31402,32,322,354,348,611,959,5198,6962,12160,1046,1556,2602,3966,4108,8074,742,771,1513,1869,1898,3767,219,291,510,534,929,1463
Odisha,177442,153894,331336,30,486,516,165,770,935,60381,64785,125166,38768,39493,78261,22891,16820,39711,10204,8756,18960,32381,16005,48386,955,581,1536,11667,6198,17865
Puducherry,3081,9274,12355,2,563,565,13,177,190,559,3443,4002,184,904,1088,278,767,1045,710,1471,2181,360,689,1049,309,422,731,666,838,1504
Punjab,63701,193433,257134,323,6697,7020,3484,11290,14774,13618,55779,69397,803,5955,6758,9791,34248,44039,6460,14255,20715,14194,36607,50801,2944,5715,8659,12084,22887,34971
Rajasthan,437175,287350,724525,513,5488,6001,3485,8584,12069,113812,97925,211737,52087,41675,93762,83772,54291,138063,65115,30367,95482,31875,14818,46693,57224,22699,79923,29292,11503,40795
Sikkim,5443,8170,13613,46,684,730,39,188,227,2478,3694,6172,113,191,304,959,1329,2288,457,497,954,649,719,1368,128,148,276,574,720,1294
Tamil Nadu,142317,427603,569920,165,8193,8358,135,4325,4460,29008,167576,196584,10001,51445,61446,23374,55117,78491,23917,46882,70799,19567,45870,65437,11140,16043,27183,25010,32152,57162
Telangana,126479,194415,320894,197,5147,5344,1996,7612,9608,31815,66956,98771,11601,28297,39898,9639,19444,29083,35770,33714,69484,18211,22612,40823,1804,1986,3790,15446,8647,24093
Tripura,23699,12734,36433,40,113,153,182,295,477,10650,5021,15671,599,469,1068,4544,2012,6556,1033,541,1574,3618,1967,5585,530,371,901,2503,1945,4448
Uttar Pradesh,819073,688755,1507828,271,4370,4641,1275,4445,5720,383973,387992,771965,39016,43962,82978,194129,145227,339356,24103,16818,40921,92517,46620,139137,35575,18361,53936,48214,20960,69174
Uttarakhand,55448,67764,123212,28,1036,1064,187,1146,1333,17141,30345,47486,2031,5646,7677,9975,10962,20937,4404,4106,8510,9460,6620,16080,4011,3328,7339,8211,4575,12786
West Bengal,327937,253750,581687,14173,18265,32438,147519,121079,268598,10479,12327,22806,3683,5090,8773,42894,28318,71212,47238,28269,75507,18250,11973,30223,35597,22234,57831,8104,6195,14299
