State,Projected Population by Age group - Scheduled Castes (SC)-Age 3-5 - Boys,Projected Population by Age group - Scheduled Castes (SC)-Age 3-5 - Girls,Projected Population by Age group - Scheduled Castes (SC)-Age 3-5 - Total,Projected Population by Age group - Scheduled Castes (SC)-Age 6-10 - Boys,Projected Population by Age group - Scheduled Castes (SC)-Age 6-10 - Girls,Projected Population by Age group - Scheduled Castes (SC)-Age 6-10 - Total,Projected Population by Age group - Scheduled Castes (SC)-Age 11-13 - Boys,Projected Population by Age group - Scheduled Castes (SC)-Age 11-13 - Girls,Projected Population by Age group - Scheduled Castes (SC)-Age 11-13 - Total,Projected Population by Age group - Scheduled Castes (SC)-Age 6-13 - Boys,Projected Population by Age group - Scheduled Castes (SC)-Age 6-13 - Girls,Projected Population by Age group - Scheduled Castes (SC)-Age 6-13 - Total,Projected Population by Age group - Scheduled Castes (SC)-Age 14-15 - Boys,Projected Population by Age group - Scheduled Castes (SC)-Age 14-15 - Girls,Projected Population by Age group - Scheduled Castes (SC)-Age 14-15 - Total,Projected Population by Age group - Scheduled Castes (SC)-Age 16-17 - Boys,Projected Population by Age group - Scheduled Castes (SC)-Age 16-17 - Girls,Projected Population by Age group - Scheduled Castes (SC)-Age 16-17 - Total
Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,
Andhra Pradesh,244883.0,229200.0,474083.0,348863.0,332317.0,681180.0,216192.0,216432.0,432624.0,565055.0,548749.0,1113804.0,150362.0,148587.0,298949.0,151574.0,146509.0,298083.0
Arunachal Pradesh,,,,,,,,,,,,,,,,,,
Assam,73508.0,67860.0,141368.0,105475.0,98642.0,204117.0,72966.0,71503.0,144469.0,178441.0,170145.0,348587.0,50023.0,49907.0,99930.0,52304.0,51138.0,103442.0
Bihar,939065.0,868386.0,1807451.0,1276840.0,1183173.0,2460013.0,698881.0,652167.0,1351048.0,1975721.0,1835341.0,3811062.0,438904.0,379352.0,818256.0,410579.0,343711.0,754290.0
Chandigarh,8969.0,7678.0,16647.0,13397.0,11211.0,24607.0,8234.0,6891.0,15125.0,21631.0,18102.0,39732.0,5801.0,4822.0,10624.0,6235.0,5061.0,11296.0
Chhattisgarh,144195.0,135857.0,280052.0,192080.0,184272.0,376352.0,109305.0,106807.0,216112.0,301386.0,291079.0,592464.0,74779.0,71901.0,146680.0,76736.0,73008.0,149744.0
Dadra and Nagar Haveli and Daman and Diu,460.0,431.0,891.0,643.0,593.0,1236.0,450.0,420.0,871.0,1093.0,1013.0,2106.0,324.0,250.0,573.0,343.0,289.0,632.0
Delhi,100950.0,88470.0,189420.0,144550.0,125096.0,269646.0,88540.0,79831.0,168371.0,233090.0,204927.0,438017.0,63853.0,58189.0,122042.0,67985.0,61774.0,129758.0
Goa,854.0,829.0,1683.0,1253.0,1164.0,2417.0,743.0,738.0,1481.0,1996.0,1902.0,3898.0,567.0,493.0,1059.0,546.0,542.0,1088.0
