State,Enrolment - All Types of Management - Total (Pre-primary to 12),Enrolment - All Types of Management - Pre- Primary,Enrolment - All Types of Management - Primary (1 to 5),Enrolment - All Types of Management - Upper Primary (6-8),Enrolment - All Types of Management - Elementary (1-8),Enrolment - All Types of Management - Secondary (9-10),Enrolment - All Types of Management - Higher Secondary (11-12)
Andaman and Nicobar Islands,73861,6885,25964,17719,43683,11810,11483
Andhra Pradesh,8244647,77391,3724793,2169034,5893827,1341250,932179
Arunachal Pradesh,354382,26076,164061,84930,248991,45455,33860
Assam,7544960,443388,3645363,1905775,5551138,1004682,545752
Bihar,27472692,426254,14179532,7253543,21433075,3618298,1995065
Chandigarh,268627,22059,95948,64102,160050,43795,42723
Chhattisgarh,5992197,227967,2692513,1486418,4178931,840172,745127
Dadra and Nagar Haveli and Daman and Diu,133358,5111,59586,35350,94936,18671,14640
Delhi,4572107,253625,1754430,1190775,2945205,725275,648002
Goa,304982,22556,121356,72310,193666,46866,41894
Gujarat,11542276,164691,5387190,3090985,8478175,1750516,1148894
Haryana,6035679,243645,2579262,1480339,4059601,952143,780290
Himachal Pradesh,1437022,104874,550993,342695,893688,216429,222031
Jammu and Kashmir,2718644,395249,1106932,577505,1684437,344485,294473
Jharkhand,7970750,282543,3740909,2114309,5855218,1089069,743920
Karnataka,12092381,265028,5456226,3196946,8653172,1970316,1203865
Kerala,6423120,568172,2486240,1501003,3987243,996090,871615
Ladakh,59788,10718,22892,12166,35058,7582,6430
Lakshadweep,13586,1582,5395,2813,8208,1873,1923
Madhya Pradesh,16169265,741979,7357389,4224219,11581608,2196508,1649170
Maharashtra,22586695,525861,9565321,5855597,15420918,3735647,2904269
Manipur,693194,61723,310023,150863,460886,91005,79580
Meghalaya,1169720,214782,530390,244008,774398,117496,63044
Mizoram,309904,32567,136649,71949,208598,40605,28134
Nagaland,443796,76621,177955,96439,274394,58721,34060
Odisha,7576893,49376,3519153,2071755,5590908,1246381,690228
Puducherry,255546,22518,95088,60767,155855,41002,36171
Punjab,6147500,795454,2324297,1374962,3699259,867890,784897
Rajasthan,17667510,492507,8256720,4308249,12564969,2420574,2189460
Sikkim,135963,19634,45890,29469,75359,23151,17819
Tamil Nadu,12830951,663651,5158880,3115298,8274178,2080142,1812980
Telangana,6915241,151592,3041318,1801218,4842536,1118377,802736
Tripura,713862,29683,312398,179559,491957,110536,81686
Uttar Pradesh,47181438,407034,24182635,11590094,35772729,6223321,4778354
Uttarakhand,2449926,94158,1061894,595782,1657676,365696,332396
West Bengal,18733367,1568253,7966665,4421747,12388412,2766802,2009900
