State,Number of Secondary and Higher Secondary Schools - All Management,Number of Secondary and Higher Secondary Schools - Govt.,Number of Secondary and Higher Secondary Schools - Govt. Aided,Number of Secondary and Higher Secondary Schools - Pvt. Unaided,Number of Secondary and Higher Secondary Schools - Others,Number of Secondary and Higher Secondary Schools Having Vocational Courses under NSQF at Secondary/ Higher Secondary Level - All Management,Number of Secondary and Higher Secondary Schools Having Vocational Courses under NSQF at Secondary/ Higher Secondary Level - Govt.,Number of Secondary and Higher Secondary Schools Having Vocational Courses under NSQF at Secondary/ Higher Secondary Level - Govt. Aided,Number of Secondary and Higher Secondary Schools Having Vocational Courses under NSQF at Secondary/ Higher Secondary Level - Pvt. Unaided,Number of Secondary and Higher Secondary Schools Having Vocational Courses under NSQF at Secondary/ Higher Secondary Level - Others,Total Enrolment under NSQF at Secondary/ Higher Secondary Level - All Management,Total Enrolment under NSQF at Secondary/ Higher Secondary Level - Govt.,Total Enrolment under NSQF at Secondary/ Higher Secondary Level - Govt. Aided,Total Enrolment under NSQF at Secondary/ Higher Secondary Level - Pvt. Unaided,Total Enrolment under NSQF at Secondary/ Higher Secondary Level - Others
Andaman and Nicobar Islands,121,100,2,19,0,49,49,0,0,0,5781,5781,0,0,0
Andhra Pradesh,15183,7235,580,7344,24,476,476,0,0,0,40137,40137,0,0,0
Arunachal Pradesh,476,327,34,115,0,99,99,0,0,0,11067,11067,0,0,0
Assam,9823,4725,1136,3252,710,339,339,0,0,0,20249,20249,0,0,0
Bihar,12334,9379,316,2094,545,0,0,0,0,0,0,0,0,0,0
Chandigarh,169,100,7,58,4,28,28,0,0,0,4157,4157,0,0,0
Chhattisgarh,7275,4824,110,2340,1,546,546,0,0,0,67893,67893,0,0,0
Dadra and Nagar Haveli and Daman and Diu,99,58,8,32,1,9,9,0,0,0,911,911,0,0,0
Delhi,2157,1095,181,881,0,347,347,0,0,0,72734,72734,0,0,0
Goa,526,96,400,30,0,121,87,34,0,0,5923,4644,1279,0,0
Gujarat,12709,1952,5108,5646,3,252,245,7,0,0,14386,14072,314,0,0
Haryana,8522,3424,16,5050,32,1074,1074,0,0,0,91587,91587,0,0,0
Himachal Pradesh,4259,2857,0,1402,0,953,953,0,0,0,42074,42074,0,0,0
Jammu and Kashmir,4405,2586,1,1805,13,714,714,0,0,0,44782,44782,0,0,0
Jharkhand,4961,2895,182,1346,538,440,440,0,0,0,25698,25698,0,0,0
Karnataka,21068,6537,4380,10143,8,203,203,0,0,0,9119,9119,0,0,0
Kerala,4921,1301,1437,2084,99,233,199,34,0,0,300,300,0,0,0
Ladakh,161,128,1,32,0,28,28,0,0,0,1151,1151,0,0,0
Lakshadweep,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,17904,9428,274,8199,3,1200,1200,0,0,0,112084,112084,0,0,0
Maharashtra,28505,1960,16510,9900,135,661,661,0,0,0,49395,49395,0,0,0
Manipur,1214,458,90,665,1,97,97,0,0,0,6945,6945,0,0,0
Meghalaya,1827,131,733,762,201,22,22,0,0,0,1413,1413,0,0,0
Mizoram,900,336,157,364,43,46,46,0,0,0,2411,2411,0,0,0
Nagaland,778,316,0,462,0,26,26,0,0,0,1633,1633,0,0,0
Odisha,11969,5919,3966,1961,123,953,945,5,3,0,78336,78336,0,0,0
Puducherry,385,140,30,215,0,9,9,0,0,0,822,822,0,0,0
Punjab,9653,3786,365,5501,1,989,989,0,0,0,84826,84826,0,0,0
Rajasthan,31463,15482,0,15939,42,905,905,0,0,0,98698,98698,0,0,0
Sikkim,266,218,11,37,0,194,194,0,0,0,14581,14581,0,0,0
Tamil Nadu,13891,6251,1798,5817,25,120,120,0,0,0,18695,18695,0,0,0
Telangana,14554,6956,286,7309,3,194,194,0,0,0,19865,19865,0,0,0
Tripura,1157,1003,33,114,7,135,134,1,0,0,4917,4843,74,0,0
Uttar Pradesh,33196,2657,5088,23256,2195,161,161,0,0,0,2192,2192,0,0,0
Uttarakhand,3930,2404,400,1083,43,0,0,0,0,0,0,0,0,0,0
West Bengal,10690,9606,39,976,69,669,669,0,0,0,59234,59234,0,0,0
